Logging to /home/windrist/Workspace/ThichNghi_ws/src/aslam_rl/log/PPO_turtle/PPO_Extended
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 102      |
|    ep_rew_mean     | 149      |
| time/              |          |
|    fps             | 8        |
|    iterations      | 1        |
|    time_elapsed    | 231      |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 99.2         |
|    ep_rew_mean          | -28.4        |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 2            |
|    time_elapsed         | 464          |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0030821962 |
|    clip_fraction        | 0.0198       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | 0.913        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.32e+03     |
|    n_updates            | 2950         |
|    policy_gradient_loss | -0.00443     |
|    std                  | 0.454        |
|    value_loss           | 5.85e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 102          |
|    ep_rew_mean          | 74.9         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 3            |
|    time_elapsed         | 693          |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0034114113 |
|    clip_fraction        | 0.0203       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.26        |
|    explained_variance   | 0.91         |
|    learning_rate        | 0.0003       |
|    loss                 | 1.31e+03     |
|    n_updates            | 2960         |
|    policy_gradient_loss | -0.00415     |
|    std                  | 0.452        |
|    value_loss           | 5.86e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 98.4         |
|    ep_rew_mean          | 25.8         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 4            |
|    time_elapsed         | 929          |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0041900813 |
|    clip_fraction        | 0.0282       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | 0.856        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.62e+03     |
|    n_updates            | 2970         |
|    policy_gradient_loss | -0.00411     |
|    std                  | 0.451        |
|    value_loss           | 9.99e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 98.7         |
|    ep_rew_mean          | -37.8        |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 5            |
|    time_elapsed         | 1165         |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0045610415 |
|    clip_fraction        | 0.0224       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.86         |
|    learning_rate        | 0.0003       |
|    loss                 | 3.26e+03     |
|    n_updates            | 2980         |
|    policy_gradient_loss | -0.00636     |
|    std                  | 0.45         |
|    value_loss           | 1.17e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 97.5         |
|    ep_rew_mean          | -51.9        |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 6            |
|    time_elapsed         | 1396         |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0035760594 |
|    clip_fraction        | 0.024        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.818        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.07e+03     |
|    n_updates            | 2990         |
|    policy_gradient_loss | -0.00386     |
|    std                  | 0.45         |
|    value_loss           | 9.55e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 90.9        |
|    ep_rew_mean          | -75.6       |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 7           |
|    time_elapsed         | 1636        |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.004343053 |
|    clip_fraction        | 0.0363      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.24       |
|    explained_variance   | 0.898       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.59e+03    |
|    n_updates            | 3000        |
|    policy_gradient_loss | -0.00472    |
|    std                  | 0.449       |
|    value_loss           | 8.08e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 90.1        |
|    ep_rew_mean          | -63         |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 8           |
|    time_elapsed         | 1869        |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.005967443 |
|    clip_fraction        | 0.0324      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.23       |
|    explained_variance   | 0.89        |
|    learning_rate        | 0.0003      |
|    loss                 | 2.76e+03    |
|    n_updates            | 3010        |
|    policy_gradient_loss | -0.00517    |
|    std                  | 0.448       |
|    value_loss           | 1.02e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 95.8         |
|    ep_rew_mean          | -37.5        |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 9            |
|    time_elapsed         | 2100         |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0056400606 |
|    clip_fraction        | 0.0511       |
