rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/std,train/learning_rate,train/explained_variance,train/approx_kl
148.53006309999995,2048,102.35,1,8,231,,,,,,,,,,,
-28.434317365853687,4096,99.2439024390244,2,8,464,5853.450206756592,0.019775390625,0.2,-0.004429890785831958,-1.2532279144972562,1316.774169921875,2950,0.45406514406204224,0.0003,0.9127250984311104,0.0030821962
74.87167218644066,6144,101.96610169491525,3,8,693,5860.805648040771,0.020263671875,0.2,-0.004148856253596023,-1.2552551466971635,1312.449951171875,2960,0.4524585008621216,0.0003,0.9102987870573997,0.0034114113
25.814454710843375,8192,98.42168674698796,4,8,929,9988.970193481446,0.02822265625,0.2,-0.0041128379656584,-1.247801949828863,2617.312744140625,2970,0.4506186842918396,0.0003,0.8561078906059265,0.0041900813
-37.76488136,10240,98.71,5,8,1165,11714.559349822997,0.02236328125,0.2,-0.006358342117164284,-1.2412100993096828,3255.96142578125,2980,0.4500020742416382,0.0003,0.8598241657018661,0.0045610415
-51.91951954999999,12288,97.53,6,8,1396,9553.35908279419,0.0240234375,0.2,-0.0038636321056401356,-1.2400712426751852,3073.6767578125,2990,0.4499407410621643,0.0003,0.8179456740617752,0.0035760594
-75.63644854,14336,90.93,7,8,1636,8078.148348236084,0.036328125,0.2,-0.004717474227072671,-1.2376512587070465,2594.100830078125,3000,0.4487006366252899,0.0003,0.8977067321538925,0.004343053
-62.9826501,16384,90.12,8,8,1869,10223.68734741211,0.032421875,0.2,-0.0051722263364354145,-1.2335564188659192,2756.39111328125,3010,0.44807419180870056,0.0003,0.8902795910835266,0.005967443
-37.54620852999999,18432,95.77,9,8,2100,6082.984436798096,0.05107421875,0.2,-0.006904460483929143,-1.2284410834312438,1396.5848388671875,3020,0.446397602558136,0.0003,0.9148021340370178,0.0056400606
-72.50655820999998,20480,95.08,10,8,2335,7364.5914283752445,0.036328125,0.2,-0.006126934417989105,-1.2233745586127043,2486.486083984375,3030,0.44583579897880554,0.0003,0.907248392701149,0.00398966
-102.97047059,22528,94.06,11,8,2563,13078.147058868408,0.053466796875,0.2,-0.00695361263351515,-1.2205919712781905,5891.60546875,3040,0.4452708661556244,0.0003,0.73277148604393,0.005593186
-133.98120256999994,24576,108.42,12,8,2783,5685.810711288452,0.03232421875,0.2,-0.005356496409513056,-1.2223954509943724,1597.910400390625,3050,0.4467003345489502,0.0003,0.9205226823687553,0.0053387457
-93.05542337999995,26624,121.69,13,8,3001,4677.218684768677,0.03447265625,0.2,-0.004852607933571562,-1.2294681325554848,1102.6788330078125,3060,0.44891178607940674,0.0003,0.911101721227169,0.0029579247
-157.54232265000002,28672,120.97,14,8,3228,6711.342813491821,0.033154296875,0.2,-0.0042709072411526,-1.2361774802207948,1552.816162109375,3070,0.4492344856262207,0.0003,0.8016900718212128,0.0040051695
-153.94177364000004,30720,140.65,15,8,3447,4405.278678131103,0.025048828125,0.2,-0.005395419482374564,-1.23558302372694,1059.063720703125,3080,0.44871795177459717,0.0003,0.8242408633232117,0.0044780043
-197.42193564000002,32768,137.98,16,8,3677,4477.43434638977,0.06904296875,0.2,-0.010576907456561457,-1.2271417692303657,2819.84716796875,3090,0.4455096125602722,0.0003,0.8023341298103333,0.0063443575
-147.72136211,34816,137.57,17,8,3911,7227.492911529541,0.050244140625,0.2,-0.005805447808234021,-1.2175091423094273,2981.30517578125,3100,0.44477325677871704,0.0003,0.8702011257410049,0.005452069
-169.21008690000002,36864,132.38,18,8,4140,6764.4650825500485,0.035888671875,0.2,-0.007564036912663141,-1.2178343556821347,1711.4556884765625,3110,0.4459571838378906,0.0003,0.9152507334947586,0.0057794834
-212.73931814000002,38912,119.26,19,8,4372,7487.037718200683,0.044091796875,0.2,-0.008481224707793444,-1.2195858296006918,1931.60302734375,3120,0.4451960325241089,0.0003,0.8764224573969841,0.0058155805
-135.11605283,40960,99.6,20,8,4604,5254.174453735352,0.028125,0.2,-0.006643243890721351,-1.2164881352335215,1325.5504150390625,3130,0.44479238986968994,0.0003,0.8745017051696777,0.0051592654
-111.77722478999996,43008,109.87,21,8,4824,5850.728758239746,0.04931640625,0.2,-0.006903589097782969,-1.213225918263197,1387.6292724609375,3140,0.443511426448822,0.0003,0.9049236327409744,0.007194361
-116.84923555000002,45056,114.61,22,8,5053,4297.034745788575,0.043408203125,0.2,-0.007377642602659762,-1.2018129169940948,837.0818481445312,3150,0.43952658772468567,0.0003,0.9144907891750336,0.0034154265
-114.84609116,47104,112.17,23,8,5282,6513.276110839844,0.027978515625,0.2,-0.0062107245932566,-1.1906171541661024,2944.390869140625,3160,0.43889719247817993,0.0003,0.9151374027132988,0.0046312427
-107.65205314000002,49152,115.29,24,8,5505,10624.251473999024,0.0271484375,0.2,-0.004298198901233263,-1.189537189155817,1954.8189697265625,3170,0.43924176692962646,0.0003,0.8531476706266403,0.0052940985
-141.29745994999996,51200,124.6,25,8,5733,5324.59524269104,0.031494140625,0.2,-0.006017624858941417,-1.1856045674532651,1747.475341796875,3180,0.4369584918022156,0.0003,0.876792311668396,0.0047537955
