time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_range
9,213,2048,1,390.8,-1230.9905204000002,,,,,,,,,,,
9,427,4096,2,443.8888888888889,-1385.5448077777776,-0.0005826950073242188,-2.8449871994555,2566.53955078125,1.0088653564453125,6522.846562576294,0.03310546875,10,0.0003,-0.003911868846626021,0.0035080907,0.2
9,642,6144,3,437.2142857142857,-1340.0229595714284,-0.0006803274154663086,-2.8623017594218254,3268.363037109375,1.0147695541381836,5428.374198913574,0.0353515625,20,0.0003,-0.006543873458576854,0.0052434434,0.2
9,856,8192,4,405.6666666666667,-1263.1693266111113,-0.0003236532211303711,-2.8691378384828568,1478.534912109375,1.0153136253356934,6231.471370506287,0.016259765625,30,0.0003,-0.004481050875619985,0.003207927,0.2
9,1073,10240,5,413.9166666666667,-1108.86574475,-8.58306884765625e-05,-2.852943382412195,1272.8624267578125,0.9984485507011414,5442.072891044617,0.015478515625,40,0.0003,-0.003610775718698278,0.0043554287,0.2
9,1286,12288,6,431.2142857142857,-1159.1488937857143,-6.198883056640625e-06,-2.824402667582035,9121.9609375,0.9938082695007324,17401.403916549683,0.086865234375,50,0.0003,-0.0037800896316184662,0.00453316,0.2
9,1497,14336,7,465.56666666666666,-1146.0886353,-0.004959583282470703,-2.823880398273468,1555.9891357421875,0.9927257299423218,4749.631219100952,0.011376953125,60,0.0003,-0.0023769559040374586,0.0028380458,0.2
9,1710,16384,8,470.27272727272725,-1176.3229695454545,-0.00041794776916503906,-2.8250497080385686,150.97183227539062,0.9947440028190613,4960.8084444999695,0.15673828125,70,0.0003,0.005779278207046446,0.027745696,0.2
9,1922,18432,9,502.30555555555554,-1326.5213574444444,3.337860107421875e-06,-2.8232917934656143,1343.677490234375,0.992961049079895,3928.4050159454346,0.083447265625,80,0.0003,0.0007626474573044107,0.0037258156,0.2
9,2136,20480,10,508.475,-1324.466986575,-9.894371032714844e-06,-2.821603013575077,2440.745361328125,0.9918391704559326,3721.0312789916993,0.000341796875,90,0.0003,-0.0012962243832589592,0.0012390333,0.2
9,2347,22528,11,531.9285714285714,-1351.300859690476,-1.3470649719238281e-05,-2.811623025685549,974.26123046875,0.9853342771530151,8665.5488822937,0.042822265625,100,0.0003,-0.0025422731327125804,0.004208597,0.2
9,2558,24576,12,553.25,-1395.5866225454545,-0.00011026859283447266,-2.804097398370504,254.3501434326172,0.9825670123100281,578.828844833374,0.011279296875,110,0.0003,-0.002368291011225665,0.0030084646,0.2
9,2771,26624,13,558.0212765957447,-1360.6774879999998,-4.649162292480469e-06,-2.798063423484564,358.88763427734375,0.9790743589401245,931.9745079040528,0.021240234375,120,0.0003,-0.0036806443604291417,0.0036921068,0.2
9,2982,28672,14,576.1020408163265,-1405.1304528979592,-1.9073486328125e-06,-2.8091710053384302,485.8946533203125,0.9944072961807251,6139.418123531342,0.105126953125,130,0.0003,0.00038605672525591215,0.012110608,0.2
9,3194,30720,15,587.5576923076923,-1447.7026827115383,-1.4901161193847656e-05,-2.8207533858716487,437.2506103515625,0.9908848404884338,1134.7526720046997,0.014404296875,140,0.0003,-0.0035659212124301122,0.0027454447,0.2
9,3405,32768,16,602.8703703703703,-1481.3718379444445,-1.3470649719238281e-05,-2.8169587433338164,573.7182006835938,0.9914219379425049,2385.0596450805665,0.001025390625,150,0.0003,-0.0014728103204106446,0.0018082903,0.2
9,3617,34816,17,617.0892857142857,-1516.7163418928571,-1.8596649169921875e-05,-2.819075247645378,264.4965515136719,0.9929097890853882,576.3271927833557,0.0193359375,160,0.0003,-0.00416200707986718,0.0031207297,0.2
