rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/loss,train/learning_rate,train/n_updates
-1019.1152665,4,0.9413849999999999,67,617,154.25,9,,,
-1046.80225325,8,0.892935,123,1127,140.875,9,,,
-1154.522117,12,0.8152250000000003,209,1945,162.08333333333334,9,,,
-1134.6138523125,16,0.7606949999999996,272,2519,157.4375,9,,,
-1080.66019095,20,0.7088250000000005,332,3065,153.25,9,,,
-1059.3492219583334,24,0.6575249999999998,391,3605,150.20833333333334,9,,,
-1030.267185607143,28,0.6223750000000005,433,3975,141.96428571428572,9,,,
-1008.883662875,32,0.5623349999999996,501,4607,143.96875,9,,,
-1047.572663861111,36,0.48272500000000007,589,5445,151.25,9,,,
-1068.424288725,40,0.383545,699,6489,162.225,9,,,
-1046.1622768863638,44,0.34136500000000003,748,6933,157.5681818181818,9,,,
-1030.9298910833334,48,0.2782850000000002,819,7597,158.27083333333334,9,,,
-1036.2379777884614,52,0.21235499999999974,893,8291,159.44230769230768,9,,,
-1102.1495526249998,56,0.09056500000000023,1027,9573,170.94642857142858,9,,,
-1093.09905715,60,0.05,1086,10123,168.71666666666667,9,,,
-1111.6344203125,64,0.05,1174,10947,171.046875,9,,,
-1098.4894234117648,68,0.05,1258,11733,172.5441176470588,9,,,
-1109.5618818055555,72,0.05,1383,12939,179.70833333333334,9,,,
-1100.6326800394736,76,0.05,1477,13825,181.9078947368421,9,,,
-1097.6060948375,80,0.05,1556,14575,182.1875,9,,,
-1101.0743158214286,84,0.05,1636,15319,182.36904761904762,9,,,
-1077.4277987159091,88,0.05,1710,16011,181.9431818181818,9,,,
-1065.6677518586955,92,0.05,1773,16591,180.33695652173913,9,,,
-1063.5877874895832,96,0.05,1835,17165,178.80208333333334,9,,,
-1064.2963158599998,100,0.05,1917,17937,179.37,9,,,
-1054.4200420700001,104,0.05,1996,18675,180.58,9,,,
-1055.7657307900001,108,0.05,2061,19275,181.48,9,,,
-1039.8975181599997,112,0.05,2133,19949,180.04,9,,,
-1041.51516775,116,0.05,2219,20765,182.46,9,,,
-1059.64022817,120,0.05,2349,22009,189.44,9,,,
-1052.3842885899999,124,0.05,2421,22681,190.76,9,,,
-1052.6874834599998,128,0.05,2478,23203,192.28,9,,,
-1057.1728105299999,132,0.05,2549,23863,192.56,9,,,
-1042.0931629700003,136,0.05,2610,24427,189.82,9,,,
-1028.4530637300002,140,0.05,2688,25151,186.62,9,,,
