time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/explained_variance,train/std,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/n_updates,train/entropy_loss
1,9,223,144.42857142857142,2048,326.20154664285707,,,,,,,,,,,
2,9,450,131.9,4096,464.19247343333325,0.0035263249,0.0003,0.8719133585691452,0.6548774242401123,0.021044921875,-0.006195524460054003,6106.3886245727535,2016.371826171875,0.2,4180,-1.987724109366536
3,9,672,135.8372093023256,6144,464.4000684418604,0.005826799,0.0003,0.9566285535693169,0.6566414833068848,0.035791015625,-0.008657919878896792,2460.0359968185426,896.2224731445312,0.2,4190,-1.9871242880821227
4,9,889,155.90384615384616,8192,483.26765732692303,0.003723397,0.0003,0.9343044832348824,0.6555460095405579,0.016943359375,-0.006160004976845812,4821.057506561279,3244.952880859375,0.2,4200,-1.987727301567793
5,9,1113,155.0,10240,473.51760663636355,0.006052835,0.0003,0.9539843648672104,0.6571312546730042,0.0388671875,-0.008468903205357491,2990.842961883545,1098.327880859375,0.2,4210,-1.9888693254441023
6,9,1337,152.7125,12288,451.8708039625,0.007870268,0.0003,0.9765150174498558,0.6534641981124878,0.06552734375,-0.009255482128355651,1829.3564525604247,517.8717651367188,0.2,4220,-1.9850339453667403
7,9,1558,155.34782608695653,14336,444.0177363152173,0.006465514,0.0003,0.9518146999180317,0.6544234752655029,0.058447265625,-0.011692138327634893,2283.9742488861084,1088.6180419921875,0.2,4230,-1.9801849488168954
8,9,1780,158.31,16384,458.1855372999999,0.0067701126,0.0003,0.8590934127569199,0.6536298990249634,0.045361328125,-0.006666706041141879,6371.635483932495,3029.15625,0.2,4240,-1.9818793848156928
9,9,2000,159.51,18432,475.26507883000005,0.0032027108,0.0003,0.946348313242197,0.6535018086433411,0.021240234375,-0.0051460907969158145,2983.226593399048,883.5987548828125,0.2,4250,-1.979779316112399
10,9,2223,163.76,20480,464.04468758,0.006737375,0.0003,0.9768884349614382,0.6495453119277954,0.0517578125,-0.010833648496191017,1191.3761109352113,304.68719482421875,0.2,4260,-1.973400764539838
11,9,2446,165.41,22528,441.68772211000004,0.0042752763,0.0003,0.9437857121229172,0.6485661268234253,0.03818359375,-0.006563998421188444,3785.525080680847,588.4214477539062,0.2,4270,-1.9637273311614991
12,9,2665,162.74,24576,449.03085989,0.003207949,0.0003,0.8963514417409897,0.6488662362098694,0.02197265625,-0.007056493990239688,6073.0758968353275,1414.814208984375,0.2,4280,-1.9634047046303749
13,9,2889,162.18,26624,405.8363531400001,0.0055682226,0.0003,0.8267133682966232,0.6485908031463623,0.036083984375,-0.0073749357965425585,8666.387019348145,1342.6773681640625,0.2,4290,-1.9642929669469595
14,9,3114,155.4,28672,455.98560577999996,0.0064114397,0.0003,0.9227324724197388,0.6476609110832214,0.052294921875,-0.01050568293139804,5000.148642349243,1142.5257568359375,0.2,4300,-1.9615668267011643
15,9,3340,154.79,30720,445.87902651999997,0.0031286066,0.0003,0.8716850727796555,0.6481485962867737,0.02431640625,-0.007243999632191844,7514.427561950683,3112.427490234375,0.2,4310,-1.9605692461133004
16,9,3560,156.83,32768,398.49285062,0.004559766,0.0003,0.9368754252791405,0.6481366157531738,0.03828125,-0.005600322176178452,4203.583192634583,672.6102294921875,0.2,4320,-1.9612685941159724
17,9,3784,155.1,34816,408.22588804,0.0068513453,0.0003,0.9484941810369492,0.6456894278526306,0.046630859375,-0.007965081735164858,3084.8109560012817,740.2723388671875,0.2,4330,-1.9589377839118243
18,9,4007,153.14,36864,442.79605302,0.0044674305,0.0003,0.946349985897541,0.6455708742141724,0.040283203125,-0.006506483224802651,3003.4087574005125,1184.427001953125,0.2,4340,-1.9543216429650783
19,9,4232,145.51,38912,480.08335088,0.00880187,0.0003,0.976596225053072,0.6452522277832031,0.07431640625,-0.011240177750005386,1103.8453261375428,364.86724853515625,0.2,4350,-1.954479842633009
20,9,4450,151.66,40960,500.1137885999999,0.0093966145,0.0003,0.9803201090544462,0.6396052241325378,0.06865234375,-0.010362095877644606,1187.004292678833,532.0173950195312,0.2,4360,-1.94456519857049
21,9,4673,155.19,43008,491.72924622,0.0043467293,0.0003,0.8358345180749893,0.6388360261917114,0.024853515625,-0.0074086707638343794,5907.321963310242,2253.9013671875,0.2,4370,-1.933672832325101
22,9,4911,139.76,45056,419.03466730999986,0.0063732425,0.0003,0.934945210814476,0.6411161422729492,0.0708984375,-0.009204749949276447,4375.527045249939,600.2053833007812,0.2,4380,-1.936583276465535
23,9,5135,136.0,47104,437.95996605,0.0032258094,0.0003,0.8708826750516891,0.6410477161407471,0.011181640625,-0.0038692155823810024,7330.117232894898,1816.7352294921875,0.2,4390,-1.9411237515509128
24,9,5358,138.16,49152,429.50071094,0.0019510575,0.0003,0.8704336583614349,0.6411962509155273,0.01083984375,-0.005035188140755054,9514.225966644288,2623.3828125,0.2,4400,-1.940520315617323
25,9,5583,136.1,51200,416.54499249,0.0049517476,0.0003,0.9375420063734055,0.6406060457229614,0.025390625,-0.0053433386841788885,3362.5600383758547,1933.0633544921875,0.2,4410,-1.9403479289263488
26,9,5810,127.92,53248,364.84618280999996,0.0073071057,0.0003,0.9699235633015633,0.6380481719970703,0.060693359375,-0.011225915433897171,1711.320454788208,448.1833190917969,0.2,4420,-1.9345692824572325
27,9,6034,128.16,55296,395.50509404999997,0.005078855,0.0003,0.942850898951292,0.6382429599761963,0.0419921875,-0.006335859722457826,5227.641418647766,7060.919921875,0.2,4430,-1.9317567028105258
28,9,6263,130.12,57344,358.08518044,0.003334339,0.0003,0.8706695437431335,0.6394450664520264,0.019189453125,-0.005694603857409675,6348.146044158935,3223.11083984375,0.2,4440,-1.9340418070554732
29,9,6490,132.58,59392,377.32732715,0.0075612594,0.0003,0.8806321620941162,0.639671802520752,0.0541015625,-0.007721827703062445,6532.010306549072,779.9409790039062,0.2,4450,-1.936703060567379
30,9,6714,134.73,61440,407.57474309,0.0038617621,0.0003,0.8951243981719017,0.6392959356307983,0.034619140625,-0.00721154116326943,5468.248163223267,1387.472412109375,0.2,4460,-1.9359431378543377
31,9,6943,129.9,63488,388.99411142,0.00498085,0.0003,0.9374207332730293,0.6405636668205261,0.03447265625,-0.007723743435053621,4060.0924083709715,1163.179931640625,0.2,4470,-1.9373271103948355
32,9,7168,130.82,65536,444.19709410999997,0.008072544,0.0003,0.9493627808988094,0.6333563327789307,0.05849609375,-0.007059848718927242,2784.088504600525,1019.39990234375,0.2,4480,-1.9289863876998425
33,9,7394,130.67,67584,463.0425901000001,0.004921439,0.0003,0.9151057451963425,0.6331018209457397,0.042041015625,-0.006101534210029058,5563.471395111084,2493.77783203125,0.2,4490,-1.9159475706517697
34,9,7623,127.14,69632,510.47580598,0.0074622594,0.0003,0.9549032151699066,0.6317569613456726,0.059130859375,-0.008570570248411968,2656.236154747009,347.1162109375,0.2,4500,-1.9132692642509936
35,9,7848,127.55,71680,476.54933292999993,0.0092187645,0.0003,0.9699430838227272,0.6279172897338867,0.0583984375,-0.007710197892447468,1556.4595436096192,228.10272216796875,0.2,4510,-1.9066726330667734
36,9,8073,128.54,73728,465.96924911,0.0066116797,0.0003,0.9016023948788643,0.6284555196762085,0.054541015625,-0.009315773184061982,5683.6051574707035,750.6940307617188,0.2,4520,-1.899100385978818
37,9,8291,137.74,75776,474.74052803000006,0.0023360667,0.0003,0.8534933477640152,0.6269636154174805,0.029150390625,-0.006836659085820429,7913.496086883545,4074.77978515625,0.2,4530,-1.8988925363868474
38,9,8517,139.76,77824,452.70249813999993,0.0036282619,0.0003,0.9405996724963188,0.6246318817138672,0.0287109375,-0.006738054395827931,2749.883630180359,958.7730102539062,0.2,4540,-1.892810010164976
39,9,8740,139.32,79872,418.16932879000007,0.0067348895,0.0003,0.9364930763840675,0.6235957741737366,0.040625,-0.010181822783488314,3563.6446449279783,602.0037231445312,0.2,4550,-1.8857288401573897
40,9,8957,149.07,81920,397.21780534000004,0.0045125196,0.0003,0.9047893956303596,0.6254162788391113,0.01376953125,-0.005528755061095581,4856.841324615479,1054.3553466796875,0.2,4560,-1.8873224217444657
41,9,9177,155.92,83968,408.31263641,0.0033698343,0.0003,0.9111219123005867,0.622974693775177,0.01943359375,-0.006363173417048529,3707.586626243591,2210.97314453125,0.2,4570,-1.8867337085306644
42,9,9396,167.54,86016,367.60492658999993,0.0055718897,0.0003,0.9171773791313171,0.624298095703125,0.030322265625,-0.005530714290216565,5186.016488647461,985.5070190429688,0.2,4580,-1.8838975083082914
43,9,9624,165.08,88064,427.32585349,0.0056640776,0.0003,0.8347445577383041,0.6246039867401123,0.030712890625,-0.006276363713550381,8054.641149902343,3060.892822265625,0.2,4590,-1.8865772031247616
44,9,9852,153.86,90112,432.89418132,0.006161411,0.0003,0.9337241277098656,0.6238493919372559,0.043701171875,-0.009433409752091393,2532.7268283843996,648.560302734375,0.2,4600,-1.8864352829754352
45,9,10069,153.58,92160,368.50882339000003,0.0037549208,0.0003,0.913815937936306,0.6236265897750854,0.0126953125,-0.0056662249815417455,5236.263545417785,2621.13525390625,0.2,4610,-1.8845876310020686
46,9,10294,162.06,94208,350.41217137,0.0026872158,0.0003,0.6867921054363251,0.6234258413314819,0.022314453125,-0.005047983193071559,10546.854808044434,3147.58935546875,0.2,4620,-1.8849010445177554
47,9,10520,154.91,96256,346.99483571,0.0028918956,0.0003,0.7751223742961884,0.6232730150222778,0.018701171875,-0.005120747484033928,15961.963623046875,5163.11865234375,0.2,4630,-1.8838580805808305
48,9,10747,147.54,98304,330.70694426,0.004730263,0.0003,0.9373455569148064,0.6197479963302612,0.0376953125,-0.006845774977409747,3581.8774744033813,837.6036987304688,0.2,4640,-1.879292006418109
49,9,10971,138.64,100352,364.91615059,0.007843992,0.0003,0.9656686782836914,0.6178818941116333,0.055615234375,-0.007936477153270971,2011.2218473434448,509.0573425292969,0.2,4650,-1.870936606451869
