time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/clip_fraction,train/std,train/n_updates,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl
1,234,88.26086956521739,2048,384.5015762173913,8,,,,,,,,,,,
2,478,78.40384615384616,4096,305.66753353846156,8,-0.007518814047216438,-0.6085197448730468,0.7934786379337311,2032.87353515625,0.06142578125,0.329120397567749,8350,12402.779641723633,0.0003,0.2,0.005858125
3,719,76.2125,6144,295.8015673375,8,-0.008456711762119085,-0.613127525523305,0.8485477566719055,4697.6806640625,0.05830078125,0.3297233581542969,8360,15341.40152130127,0.0003,0.2,0.006235335
4,966,71.52,8192,304.36464831999996,8,-0.009446085007220972,-0.6153438065201045,0.8936594501137733,2690.995849609375,0.06142578125,0.3297218680381775,8370,10219.66740875244,0.0003,0.2,0.0068646893
5,1213,68.96,10240,351.68053955999994,8,-0.0077322597906459125,-0.6150286875665187,0.8669175654649734,5852.5224609375,0.042529296875,0.3298179507255554,8380,15005.913786315918,0.0003,0.2,0.0043985345
6,1453,70.04,12288,381.54574484999995,8,-0.008940690266899764,-0.6142246011644602,0.9428588412702084,2088.111328125,0.0953125,0.3296295404434204,8390,5777.33147354126,0.0003,0.2,0.009048135
7,1696,69.32,14336,348.4264949100001,8,-0.009322703689394984,-0.6119112458080054,0.9097782447934151,3273.357666015625,0.064013671875,0.32890307903289795,8400,9431.998204803467,0.0003,0.2,0.009503457
8,1942,68.75,16384,258.98878777000004,8,-0.005947253288468346,-0.6101283945143223,0.9359029233455658,3396.19873046875,0.040576171875,0.32909315824508667,8410,8138.112893676758,0.0003,0.2,0.0050487714
9,2188,68.29,18432,242.88088617000003,8,-0.008309421846934128,-0.6120768025517463,0.923110231757164,4281.61767578125,0.0615234375,0.3293660879135132,8420,9063.093981933594,0.0003,0.2,0.008747695
10,2435,66.74,20480,244.87201833,8,-0.006466807369724848,-0.6125651575624943,0.8652046769857407,5984.53857421875,0.034130859375,0.329243004322052,8430,19602.507232666016,0.0003,0.2,0.0043842387
11,2678,66.66,22528,320.91756391,8,-0.010086941724875943,-0.6120017640292644,0.9478349350392818,2108.089599609375,0.088037109375,0.32904624938964844,8440,6230.772071075439,0.0003,0.2,0.009628452
12,2930,64.21,24576,308.9759966,8,-0.006225590163376182,-0.6104916382580996,0.9449698813259602,1204.9085693359375,0.0740234375,0.32895830273628235,8450,6462.8847557067875,0.0003,0.2,0.005746037
13,3171,66.02,26624,322.41460235,8,-0.007764692540513351,-0.6084098901599646,0.9426516965031624,5268.83740234375,0.06865234375,0.32830774784088135,8460,8381.682190704345,0.0003,0.2,0.007482019
14,3422,62.7,28672,309.84038151000004,8,-0.005574250651989132,-0.6050546415150165,0.9344942793250084,3634.15283203125,0.04677734375,0.327783465385437,8470,8049.49630279541,0.0003,0.2,0.0052362625
