time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss
1,340.0,213,9,-764.6394393333334,2048,,,,,,,,,,,
2,338.6666666666667,427,9,-996.1801580000001,4096,-0.0050338475266471505,0.2,3393.61865234375,0.04189453125,0.9936119914054871,10351.164806175231,0.0004512667655944824,10,0.0003,0.0044541806,-2.830256761610508
3,389.46666666666664,637,9,-1121.4503928000001,6144,-0.005787894345121458,0.2,2643.292724609375,0.0232421875,1.0010275840759277,8096.263801193238,0.00029593706130981445,20,0.0003,0.0022120136,-2.8297274045646192
4,377.35,850,9,-1181.69853455,8192,-0.003901972112362273,0.2,1366.03369140625,0.040966796875,0.998964786529541,4007.4531591415407,-0.014946937561035156,30,0.0003,0.004432259,-2.836518149077892
5,434.04545454545456,1059,9,-1256.0532991363636,10240,-0.00545634510635864,0.2,1944.364990234375,0.02021484375,1.0041232109069824,5976.528187179565,-1.2636184692382812e-05,40,0.0003,0.0035040174,-2.8390411168336867
6,481.08,1269,9,-1391.1713452800002,12288,-0.004415313067147509,0.2,311.9481201171875,0.03916015625,1.0001707077026367,744.5167757034302,-0.00037419795989990234,50,0.0003,0.0051624235,-2.839156059920788
7,503.42857142857144,1479,9,-1358.1895331428573,14336,-0.0029811854190484157,0.2,776.056884765625,0.0294921875,1.0227261781692505,4311.180167770386,0.0001786351203918457,60,0.0003,0.004199352,-2.8592386610805987
8,491.6875,1690,9,-1276.9788978125,16384,0.002615421220252756,0.2,1094.336181640625,0.1384765625,1.0141441822052002,5524.439713096619,-1.6689300537109375e-06,70,0.0003,0.0077287145,-2.871833501011133
9,492.1666666666667,1902,9,-1266.24342625,18432,-0.004365627915831283,0.2,1750.053955078125,0.1005859375,0.9936063289642334,7680.5391746521,-3.266334533691406e-05,80,0.0003,0.008310506,-2.8443679988384245
10,505.825,2113,9,-1335.3346747250002,20480,-0.0014042395225260407,0.2,1928.945068359375,0.01240234375,0.9897158741950989,3576.939606666565,-2.2649765014648438e-06,90,0.0003,0.0029128166,-2.82028568610549
11,488.3695652173913,2327,9,-1329.643521804348,22528,-0.0022378095745807514,0.2,1969.5731201171875,0.000537109375,0.9902737736701965,2712.4197702407837,-3.6954879760742188e-06,100,0.0003,0.0012925566,-2.8176631718873977
12,471.75,2541,9,-1306.58332325,24576,-0.0012721473671263085,0.2,1155.8363037109375,0.00029296875,0.9907028079032898,6075.693494415284,-9.5367431640625e-07,110,0.0003,0.00083215156,-2.8182996109128
13,481.9259259259259,2750,9,-1277.3805214444446,26624,-0.0038576563907554372,0.2,3866.19189453125,0.011474609375,0.9946599006652832,5604.523538970947,-2.5033950805664062e-06,120,0.0003,0.0031025016,-2.8228672459721564
14,486.44827586206895,2962,9,-1288.7737705689656,28672,0.0016070923942606897,0.2,83.33901977539062,0.12294921875,0.9905843138694763,5191.964665937424,-8.344650268554688e-07,130,0.0003,0.009440794,-2.830441938340664
15,478.57142857142856,3174,9,-1295.9695050476191,30720,0.0014787446649279445,0.2,1552.8414306640625,0.112158203125,0.9890276193618774,3017.055449581146,-5.960464477539062e-07,140,0.0003,0.0031131757,-2.8169257611036302
16,478.88235294117646,3387,9,-1330.6383306764708,32768,-0.0016262148914393038,0.2,2432.157958984375,0.000341796875,0.985629677772522,4923.07425403595,-1.7881393432617188e-06,150,0.0003,0.0006289949,-2.812110112607479
17,489.2676056338028,3597,9,-1340.8128284507043,34816,-0.002008651927462779,0.2,2236.947265625,0.005517578125,0.987859845161438,4776.895108795166,-8.809566497802734e-05,160,0.0003,0.0034395135,-2.8108309216797354
18,482.36,3809,9,-1310.7366497333337,36864,-0.001990440128429327,0.2,83.20081329345703,0.00673828125,0.9900039434432983,1698.3049812316895,-3.5762786865234375e-07,170,0.0003,0.003085807,-2.814335732161999
19,485.0125,4022,9,-1312.6245135000001,38912,-0.001692485687090084,0.2,1626.4945068359375,0.101220703125,0.9658831357955933,7810.1263256073,-2.384185791015625e-07,180,0.0003,0.022464763,-2.787874224036932
20,491.3734939759036,4232,9,-1329.113124240964,40960,-0.003241332787729334,0.2,988.5547485351562,0.0900390625,0.9623842239379883,9040.945818328857,-2.384185791015625e-07,190,0.0003,0.005260107,-2.7669210001826285
21,498.51162790697674,4442,9,-1350.6859055697676,43008,-0.0036233896535122767,0.2,1295.62255859375,0.01162109375,0.9597503542900085,2236.4430261611938,5.960464477539063e-08,200,0.0003,0.004068454,-2.7583455234766006
22,504.4269662921348,4653,9,-1367.351442707865,45056,-0.004074752076121513,0.2,550.7140502929688,0.02041015625,0.9573436975479126,1864.006964969635,0.0,210,0.0003,0.004081447,-2.7536196172237397
23,504.4623655913978,4864,9,-1376.4661601397847,47104,-0.0013534650424844585,0.2,486.5492248535156,0.000439453125,0.956119179725647,2077.4103911399843,-3.5762786865234375e-07,220,0.0003,0.001712585,-2.749833134561777
24,506.8020833333333,5074,9,-1382.3698347187499,49152,-0.0037334125423512886,0.2,3219.35986328125,0.006005859375,0.9574118852615356,2949.2132999420164,-3.5762786865234375e-07,230,0.0003,0.0030699829,-2.7495806224644186
25,516.8877551020408,5283,9,-1414.5574641734693,51200,-0.0050253494322532784,0.2,1919.627685546875,0.038916015625,0.9625359773635864,2389.381799316406,-2.384185791015625e-07,240,0.0003,0.0067222347,-2.7555573672056197
26,523.19,5493,9,-1413.07294258,53248,-0.005052629881538451,0.2,294.4664611816406,0.02607421875,0.9695247411727905,515.3171257972717,-2.7418136596679688e-06,250,0.0003,0.0039764573,-2.7656975254416465
27,538.72,5703,9,-1478.2394857999998,55296,8.771603461354971e-08,0.2,569.8228759765625,0.151953125,0.9658950567245483,661.8385614156723,-2.384185791015625e-07,260,0.0003,0.008317251,-2.7753591261804105
28,551.73,5912,9,-1499.4410313499998,57344,-0.002355039796384517,0.2,254.53274536132812,0.02939453125,0.9653847813606262,1163.570596599579,-4.76837158203125e-07,270,0.0003,0.0034648902,-2.768060313910246
29,562.22,6121,9,-1527.5467309899998,59392,-0.002903956289810594,0.2,41.36277770996094,0.071826171875,0.9649125337600708,137.99014775753022,1.1920928955078125e-07,280,0.0003,0.00918607,-2.7674405753612517
