rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/learning_rate,train/loss
-1477.5297679999999,4,0.9038979999999999,9,632.25,2529,259,,,
-1477.3955671249998,8,0.8489499999999998,9,496.875,3975,408,,,
-1388.9558848333334,12,0.8013739999999996,9,435.5833333333333,5227,538,,,
-1378.1413335625,16,0.721574,9,457.9375,7327,754,,,
-1345.82456585,20,0.6398739999999996,9,473.85,9477,974,,,
-1409.0695984166668,24,0.5457100000000004,9,498.125,11955,1227,,,
-1354.186738357143,28,0.4880259999999996,9,481.17857142857144,13473,1384,,,
-1392.3802283750001,32,0.39857399999999976,9,494.59375,15827,1624,,,
-1462.467065138889,36,0.2781899999999997,9,527.6388888888889,18995,1947,,,
-1440.6945725,40,0.20560999999999985,9,522.625,20905,2143,,,
-1472.3614975454548,44,0.11509400000000003,9,529.25,23287,2386,,,
-1483.8514412916666,48,0.05,9,526.5625,25275,2590,,,
-1478.3060829807691,52,0.05,9,515.1346153846154,26787,2747,,,
-1436.6238577142856,56,0.05,9,503.875,28217,2895,,,
-1400.4031325833334,60,0.05,9,510.55,30633,3142,,,
-1408.2103004375,64,0.05,9,511.671875,32747,3358,,,
-1382.8593864705883,68,0.05,9,494.8382352941176,33649,3453,,,
-1398.580486888889,72,0.05,9,504.625,36333,3727,,,
-1389.2005030263158,76,0.05,9,506.9736842105263,38530,3952,,,
-1388.6312636,80,0.05,9,510.4,40832,4187,,,
-1383.0173692738094,84,0.05,9,505.6904761904762,42478,4357,,,
-1384.363650852273,88,0.05,9,514.7159090909091,45295,4644,,,
-1403.0158601195656,92,0.05,9,518.1195652173913,47667,4887,,,
-1432.9956577708333,96,0.05,9,523.2395833333334,50231,5148,57,0.0001,0.9396542310714722
-1421.96847353,100,0.05,9,542.35,54235,5554,1058,0.0001,0.37716174125671387
-1450.1047386599998,104,0.05,9,557.1,58239,5960,2059,0.0001,0.2850763499736786
-1466.32556119,108,0.05,9,578.51,61826,6324,2956,0.0001,0.4475862681865692
-1495.42045912,112,0.05,9,600.74,65301,6677,3825,0.0001,0.25840476155281067
-1511.8093685699998,116,0.05,9,613.91,68718,7025,4679,0.0001,3.3404784202575684
-1516.19034319,120,0.05,9,622.9,71767,7335,5441,0.0001,0.24224843084812164
-1512.6817069900003,124,0.05,9,632.01,75156,7679,6288,0.0001,0.35268980264663696
-1533.9784172100003,128,0.05,9,642.07,77680,7937,6919,0.0001,0.3104700744152069
-1537.48597818,132,0.05,9,658.57,81684,8343,7920,0.0001,0.22379666566848755
-1537.6543394699997,136,0.05,9,664.62,85457,8726,8864,0.0001,0.24746450781822205
-1534.41212199,140,0.05,9,676.29,88534,9039,9633,0.0001,0.18652908504009247
-1505.8380083999996,144,0.05,9,675.34,90821,9273,10205,0.0001,0.3669360280036926
-1510.77821253,148,0.05,9,688.79,94154,9611,11038,0.0001,0.3325476050376892
-1482.1930090700002,152,0.05,9,686.89,95476,9748,11368,0.0001,0.35777008533477783
-1477.6964456800001,156,0.05,9,692.12,97429,9949,11857,0.0001,0.333096981048584
-1475.4827896,160,0.05,9,676.8,98313,10042,12078,0.0001,0.3709632456302643
-1442.7608183500001,164,0.05,9,672.84,100031,10219,12507,0.0001,0.7514563798904419
-1465.9551694299996,168,0.05,9,685.94,102243,10446,13060,0.0001,0.2922128736972809
-1395.6296564200002,172,0.05,9,680.71,104404,10667,13600,0.0001,0.24168488383293152
-1349.3404172,176,0.05,9,669.06,105436,10775,13858,0.0001,0.30072537064552307
-1331.3264886000002,180,0.05,9,659.62,106794,10916,14198,0.0001,15.295289993286133
-1300.8359432299999,184,0.05,9,652.34,107712,11013,14427,0.0001,0.28055906295776367
-1228.40913412,188,0.05,9,631.87,108482,11095,14620,0.0001,0.48426005244255066
-1161.95507625,192,0.05,9,622.31,109898,11241,14974,0.0001,3.1501142978668213
-1097.2903990100003,196,0.05,9,606.77,110908,11348,15226,0.0001,0.4742950201034546
-1071.9573251499999,200,0.05,9,575.7,111805,11442,15451,0.0001,0.26148903369903564
