time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/std,train/clip_range,train/explained_variance
2048,44.044444444444444,-93.05027355555556,7,263,1,,,,,,,,,,,
4096,45.43333333333333,25.19054815555557,7,526,2,0.0027408549,0.1001953125,45933.495671081546,0.0003,-1.3311140779405832,10317.31640625,0.0021447190432809294,2460,0.47221478819847107,0.2,0.26541876792907715
6144,46.86,117.59469662000004,7,786,3,0.0020161348,0.00068359375,29606.752740478514,0.0003,-1.33175037689507,16378.109375,-0.0020090085366973654,2470,0.4721630811691284,0.2,0.7765752822160721
8192,48.56,114.82251976999999,7,1044,4,0.002404769,0.012841796875,25697.417565917967,0.0003,-1.3315878313034772,7833.76904296875,-0.00316311140632024,2480,0.47217756509780884,0.2,0.8293868601322174
10240,48.5,175.95351926,7,1308,5,0.003212045,0.011767578125,21021.964825439452,0.0003,-1.3312721773982048,7348.11572265625,-0.0018888220191001892,2490,0.4720098376274109,0.2,0.8660071939229965
12288,47.51,99.24279214,7,1571,6,0.0051763365,0.030859375,17768.442903137206,0.0003,-1.3309340815991164,6614.6220703125,-0.005042182293254882,2500,0.47199952602386475,0.2,0.8946368917822838
14336,47.29,85.82824656999999,7,1831,7,0.0007700048,0.00029296875,18708.85735168457,0.0003,-1.330631621927023,5605.484375,-0.0017120008153142408,2510,0.4718054533004761,0.2,0.893023744225502
16384,48.38,175.00740374,7,2092,8,0.003193767,0.023583984375,16249.25072479248,0.0003,-1.3298244010657072,3056.697509765625,-0.0028821992164012045,2520,0.47159671783447266,0.2,0.9017314612865448
18432,47.14,253.59940149,7,2356,9,0.0057112486,0.01826171875,12824.666184997559,0.0003,-1.3290345899760723,2675.560302734375,-0.0045227924914797765,2530,0.47144684195518494,0.2,0.9243621453642845
20480,47.33,207.38161621999996,7,2617,10,0.00071853155,0.00361328125,14058.687741088866,0.0003,-1.3276763267815113,5253.63916015625,-0.0014353744671097956,2540,0.47092992067337036,0.2,0.9286410585045815
22528,49.65,235.74701127,7,2874,11,0.0024216613,0.0046875,24876.829110717772,0.0003,-1.3260248728096484,6574.25537109375,-0.0009871324131381699,2550,0.47067171335220337,0.2,0.8461329936981201
24576,50.61,264.60946175999993,7,3134,12,0.0034756754,0.0224609375,12477.433409118652,0.0003,-1.3257590029388666,3504.2666015625,-0.004128846022649668,2560,0.47079795598983765,0.2,0.9180897027254105
26624,52.27,354.22741151,7,3389,13,0.0031611354,0.009375,18143.603186035158,0.0003,-1.3254754226654768,5123.09228515625,-0.002243786514736712,2570,0.4705049991607666,0.2,0.9030953049659729
28672,47.42,176.16861605000003,7,3655,14,0.002996983,0.040234375,15919.450993347167,0.0003,-1.3259301889687776,6287.85205078125,-0.003863392068888061,2580,0.47107696533203125,0.2,0.8775997757911682
30720,46.88,224.05793563999998,7,3916,15,0.005055205,0.047265625,13935.722117614747,0.0003,-1.325826680660248,6916.009765625,-0.004961004576762207,2590,0.4703108072280884,0.2,0.9213470295071602
32768,46.4,193.55626847,7,4178,16,0.0030102283,0.02236328125,9852.674768066407,0.0003,-1.3218235541135073,4871.17236328125,-0.0036403575766598808,2600,0.4693443775177002,0.2,0.9318278878927231
34816,47.59,161.27753030000002,7,4439,17,0.002812785,0.01904296875,9555.618072509766,0.0003,-1.3193630591034888,1598.1207275390625,-0.004027074357145466,2610,0.46908247470855713,0.2,0.9546728320419788
36864,46.83,193.12329189,7,4702,18,0.0023428756,0.011962890625,11065.70440750122,0.0003,-1.3201944876462222,2139.691162109375,-0.003672583174193278,2620,0.470136821269989,0.2,0.9431194327771664
38912,47.68,176.33411306999997,7,4962,19,0.0039877337,0.016552734375,11866.857470703126,0.0003,-1.3226296797394752,3105.845947265625,-0.0038877599385159557,2630,0.47015130519866943,0.2,0.9231353849172592
40960,48.86,235.88792311999998,7,5223,20,0.001082541,0.007861328125,11302.830281066894,0.0003,-1.3234818939119577,4310.0546875,-0.002747688355157152,2640,0.47059106826782227,0.2,0.9337932467460632
43008,48.8,188.56415287,7,5484,21,0.006237527,0.050146484375,7253.301867675781,0.0003,-1.3239224076271057,2462.69970703125,-0.006262624573719222,2650,0.4702319800853729,0.2,0.9538061618804932
45056,47.79,206.59441173000002,7,5744,22,0.0045745615,0.03046875,5973.769398880005,0.0003,-1.323497438430786,1666.164306640625,-0.003202786750625819,2660,0.47069722414016724,0.2,0.9396478272974491
47104,47.77,192.62142769,7,6006,23,0.0036315988,0.02734375,14063.932332611084,0.0003,-1.325921183079481,10073.07421875,-0.004231039214937482,2670,0.4710979461669922,0.2,0.9301798492670059
49152,48.37,207.19761062,7,6265,24,0.002295064,0.002587890625,13365.417497253418,0.0003,-1.3285196661949157,4807.7626953125,-0.002354891267896164,2680,0.47186070680618286,0.2,0.929231695830822
51200,49.17,253.15707810999996,7,6525,25,0.0057213316,0.027099609375,11455.083225250244,0.0003,-1.3298600800335407,5042.96484375,-0.003443435890949331,2690,0.4715988039970398,0.2,0.9206144958734512
53248,49.38,159.35628714,7,6785,26,0.004138401,0.0482421875,16287.835416412354,0.0003,-1.3294976510107517,2771.658203125,-0.005175258520466741,2700,0.4718092083930969,0.2,0.9051670804619789
55296,49.8,189.18443218000002,7,7044,27,0.0031391662,0.01630859375,17188.55347442627,0.0003,-1.3293746549636125,5120.8779296875,-0.004236474292702042,2710,0.4714304506778717,0.2,0.8672429323196411
57344,51.0,216.30809871999998,7,7300,28,0.00260824,0.01708984375,10811.55379486084,0.0003,-1.3270936466753482,2763.321044921875,-0.003490598636562936,2720,0.47058361768722534,0.2,0.9095010608434677
