time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,train/loss,train/n_updates,train/learning_rate
158,381.75,0.854935,-2276.501204,4,1527,9,,,
235,281.375,0.7861549999999997,-1690.1077100000002,8,2251,9,,,
281,221.25,0.7477750000000003,-1398.72438625,12,2655,9,,,
317,185.4375,0.7181350000000002,-1227.1346679375001,16,2967,9,,,
369,171.85,0.6734849999999999,-1170.0910802,20,3437,9,,,
448,174.125,0.6029950000000002,-1186.0669706666667,24,4179,9,,,
516,171.46428571428572,0.5439050000000001,-1166.737034107143,28,4801,9,,,
590,171.71875,0.4779749999999996,-1125.8517704375,32,5495,9,,,
672,174.08333333333334,0.4046350000000001,-1117.3668577222222,36,6267,9,,,
752,175.525,0.3330050000000001,-1132.160815425,40,7021,9,,,
827,175.47727272727272,0.2665050000000001,-1105.2488397272728,44,7721,9,,,
881,171.10416666666666,0.21976499999999966,-1080.7757700208333,48,8213,9,,,
939,168.09615384615384,0.16960500000000012,-1022.6306360769232,52,8741,9,,,
1017,169.08928571428572,0.10044500000000067,-1028.2000339285714,56,9469,9,,,
1126,175.2,0.05,-1019.6093890666667,60,10512,9,,,
1208,176.21875,0.05,-1032.867814203125,64,11278,9,,,
1301,178.8235294117647,0.05,-1033.439152617647,68,12160,9,,,
1371,177.94444444444446,0.05,-1029.8950864722221,72,12812,9,,,
1441,177.21052631578948,0.05,-1020.1837210263157,76,13468,9,,,
1497,174.7,0.05,-1017.5915908875,80,13976,9,,,
1623,180.8095238095238,0.05,-1052.5021618214287,84,15188,9,,,
1739,185.1590909090909,0.05,-1058.437712,88,16294,9,,,
1787,181.7826086956522,0.05,-1053.135095152174,92,16724,9,,,
1879,183.25,0.05,-1070.1672848645833,96,17592,9,,,
1939,181.44,0.05,-1074.96829648,100,18144,9,,,
1996,171.4,0.05,-1004.7380028100001,104,18667,9,,,
2078,171.88,0.05,-1004.72526731,108,19439,9,,,
2125,172.06,0.05,-1002.8721678600002,112,19861,9,,,
2171,173.03,0.05,-1003.8202449200002,116,20270,9,,,
2229,173.61,0.05,-1002.56416726,120,20798,9,,,
2287,171.57,0.05,-994.5962316399999,124,21336,9,,,
2393,175.43,0.05,-996.2724594800003,128,22344,9,,,
2462,174.85,0.05,-1002.58426968,132,22980,9,,,
2581,178.53,0.05,-1007.4580589699998,136,24120,9,,,
2655,177.95,0.05,-976.3420385099998,140,24816,9,,,
2745,179.39,0.05,-981.16019868,144,25660,9,,,
2815,181.03,0.05,-991.2930725700003,148,26316,9,,,
2898,183.53,0.05,-1019.2925477400001,152,27094,9,,,
2964,182.33,0.05,-1010.8373832100001,156,27702,9,,,
3049,179.9,0.05,-1020.42888799,160,28502,9,,,
3137,180.52,0.05,-1008.8711702800001,164,29330,9,,,
3217,179.24,0.05,-1006.5442255200002,168,30084,9,,,
3321,182.56,0.05,-1004.6810512699999,172,31068,9,,,
3428,186.26,0.05,-1012.1375429899998,176,32094,9,,,
3496,187.44,0.05,-1008.691178,180,32720,9,,,
3576,182.76,0.05,-975.3211255000002,184,33464,9,,,
3626,176.2,0.05,-962.9841163100001,188,33914,9,,,
3710,179.82,0.05,-959.2868481900001,192,34706,9,,,
3845,184.12,0.05,-962.8381906000002,196,36004,9,,,
3932,186.88,0.05,-968.4876418500003,200,36832,9,,,
3993,187.25,0.05,-986.7071271600001,204,37392,9,,,
4063,186.03,0.05,-982.62239783,208,38042,9,,,
4143,189.29,0.05,-988.5029543700001,212,38790,9,,,
4224,192.84,0.05,-998.3675115899999,216,39554,9,,,
4308,195.38,0.05,-1006.48876255,220,40336,9,,,
4359,194.66,0.05,-994.2565918799999,224,40802,9,,,
4458,193.9,0.05,-1005.0454338799999,228,41734,9,,,
4554,196.66,0.05,-1016.47439764,232,42646,9,,,
4667,196.06,0.05,-1032.87308317,236,43726,9,,,
4743,196.2,0.05,-1056.79048225,240,44436,9,,,
4802,193.2,0.05,-1058.86190914,244,44980,9,,,
4923,198.26,0.05,-1059.08054119,248,46142,9,,,
4979,195.62,0.05,-1055.0691744599999,252,46656,9,,,
5069,198.02,0.05,-1068.94898915,256,47504,9,,,
5152,197.82,0.05,-1057.8249501799999,260,48284,9,,,
5200,193.84,0.05,-1054.9270417600003,264,48714,9,,,
