time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,train/n_updates,train/learning_rate,train/loss
9,230.25,921,-1592.1572265,0.9562525000000003,4,97,,,
9,268.875,2151,-1526.69615575,0.8978275000000004,8,225,,,
9,283.75,3405,-1552.1106956666665,0.8382625000000004,12,356,,,
9,278.3125,4453,-1409.246715875,0.7884825000000002,16,465,,,
9,274.45,5489,-1469.6237237500002,0.7392724999999996,20,574,,,
9,246.29166666666666,5911,-1341.4419746249998,0.7192275,24,621,,,
9,247.75,6937,-1313.7488915714282,0.6704925000000004,28,728,,,
9,230.78125,7385,-1251.17944034375,0.6492125000000002,32,778,,,
9,218.97222222222223,7883,-1213.8721828611115,0.6255575000000002,36,833,,,
9,212.925,8517,-1182.4391423000002,0.5954425000000001,40,901,,,
9,206.3409090909091,9079,-1175.4937041363637,0.5687475000000004,44,962,,,
9,198.52083333333334,9529,-1156.3405325625,0.5473724999999996,48,1012,,,
9,193.90384615384616,10083,-1141.176757153846,0.5210575000000002,52,1073,,,
9,193.98214285714286,10863,-1131.0429159642858,0.48400750000000003,56,1156,,,
9,190.61666666666667,11437,-1113.5394805500002,0.4567424999999997,60,1218,,,
9,190.546875,12195,-1117.1051559687498,0.4207375000000001,64,1299,,,
9,186.30882352941177,12669,-1106.71702625,0.39822250000000026,68,1351,,,
9,186.81944444444446,13451,-1099.256650888889,0.3610775000000005,72,1434,,,
9,187.51315789473685,14251,-1090.7215317763157,0.32307750000000046,76,1519,,,
9,193.8375,15507,-1097.8855351875,0.26341749999999986,80,1650,,,
9,195.86904761904762,16453,-1085.7912973214286,0.2184824999999997,84,1749,,,
9,193.5340909090909,17031,-1074.988173431818,0.19102750000000024,88,1812,,,
9,194.90217391304347,17931,-1084.4743943369563,0.14827749999999973,92,1907,,,
9,190.69791666666666,18307,-1074.651100875,0.13041749999999974,96,1949,,,
9,193.31,19331,-1077.87664745,0.08177749999999973,100,2057,,,
9,192.92,20213,-1054.8838962799998,0.05,104,2150,,,
9,185.38,20689,-1036.9793822200002,0.05,108,2203,,,
9,177.24,21129,-1002.1577356,0.05,112,2251,,,
9,172.46,21699,-1001.5136232500001,0.05,116,2313,,,
9,169.32,22421,-969.0583825100002,0.05,120,2391,,,
9,172.88,23199,-999.0054399400001,0.05,124,2473,,,
9,170.24,23961,-1006.7215707700001,0.05,128,2555,,,
9,174.34,24819,-1025.7352938699996,0.05,132,2646,,,
9,176.32,25515,-1031.24735265,0.05,136,2720,,,
9,178.48,26365,-1052.81832074,0.05,140,2810,,,
9,182.44,27323,-1066.98057193,0.05,144,2911,,,
9,190.58,28587,-1076.8303070299999,0.05,148,3042,,,
9,194.56,29539,-1109.0188686800002,0.05,152,3142,,,
9,191.7,30033,-1101.08744431,0.05,156,3197,,,
9,193.18,30755,-1112.44732819,0.05,160,3274,,,
9,196.98,31893,-1107.9760823299998,0.05,164,3392,,,
9,200.8,32749,-1127.0779913400002,0.05,168,3483,,,
9,206.98,34149,-1166.61385193,0.05,172,3628,,,
9,204.96,34747,-1168.86277798,0.05,176,3693,,,
9,197.32,35239,-1154.8236074699996,0.05,180,3747,,,
9,197.76,36229,-1169.4875135799998,0.05,184,3851,,,
