time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
9,0.9616674999999999,4,86,807,-1048.52654375,201.75,,,
9,0.9123150000000004,8,195,1846,-923.85116975,230.75,,,
9,0.8674749999999999,12,295,2790,-1083.3566706666666,232.5,,,
9,0.8391174999999997,16,359,3387,-917.3226749999999,211.6875,,,
9,0.8090024999999996,20,427,4021,-982.4881075,201.05,,,
9,0.7765124999999998,24,501,4705,-886.4601670833332,196.04166666666666,,,
9,0.7439275000000005,28,574,5391,-888.0355367142857,192.53571428571428,,,
9,0.7061174999999995,32,659,6187,-933.34208828125,193.34375,,,
9,0.6723925000000002,36,735,6897,-968.9596180277775,191.58333333333334,,,
9,0.6476924999999997,40,791,7417,-976.578744275,185.425,,,
9,0.6062725000000004,44,884,8289,-1002.8029340909092,188.38636363636363,,,
9,0.5850874999999999,48,933,8735,-989.3275569791666,181.97916666666666,,,
9,0.5616225000000001,52,987,9229,-978.1553655,177.48076923076923,,,
9,0.5366374999999999,56,1045,9755,-978.5775611785713,174.19642857142858,,,
9,0.5136475,60,1098,10239,-971.0061033999998,170.65,,,
9,0.49369750000000023,64,1145,10659,-958.0625420624999,166.546875,,,
9,0.45645749999999985,68,1229,11443,-974.6474377941175,168.27941176470588,,,
9,0.41266249999999993,72,1326,12365,-975.3694277361111,171.73611111111111,,,
9,0.37832000000000054,76,1403,13088,-949.8159499736842,172.21052631578948,,,
9,0.3432649999999998,80,1482,13826,-946.6054324749999,172.825,,,
9,0.28911500000000045,84,1601,14966,-987.7848574404762,178.16666666666666,,,
9,0.23971499999999968,88,1710,16006,-1000.2536453181818,181.88636363636363,,,
9,0.19601500000000016,92,1807,16926,-1004.2579788152173,183.97826086956522,,,
9,0.17644499999999963,96,1853,17338,-1003.6113723125,180.60416666666666,,,
9,0.14965500000000032,100,1914,17902,-1006.8947066500001,179.02,,,
9,0.10082499999999994,104,2022,18930,-1009.0003832200001,181.23,,,
9,0.07080500000000056,108,2090,19562,-1022.6907279600001,177.16,,,
9,0.05,112,2160,20214,-1007.5651054500001,174.24,,,
9,0.05,116,2229,20848,-1033.5567250999998,174.61,,,
9,0.05,120,2316,21676,-1014.53153654,176.55,,,
9,0.05,124,2412,22580,-1044.0080270400001,178.75,,,
9,0.05,128,2480,23214,-1038.0619202400003,178.23,,,
9,0.05,132,2524,23600,-1024.7513335,174.13,,,
9,0.05,136,2648,24788,-1013.2901455899998,178.91,,,
9,0.05,140,2734,25598,-1026.67721409,181.81,,,
9,0.05,144,2802,26226,-1011.26058085,179.37,,,
9,0.05,148,2871,26872,-1016.23551753,181.37,,,
9,0.05,152,2944,27554,-1017.4351861700001,183.25,,,
9,0.05,156,3054,28596,-1027.37114429,188.41,,,
9,0.05,160,3112,29126,-1029.9566001499998,188.87,,,
