rollout/ep_len_mean,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
161.75,9,0.9877069999999999,-985.7850947499999,4,70,647,,,
176.625,9,0.973153,-798.4465143749999,8,152,1413,,,
161.58333333333334,9,0.9631589999999995,-806.7265379999999,12,209,1939,,,
147.625,9,0.9551220000000005,-781.5441548125,16,256,2362,,,
162.7,9,0.9381740000000004,-867.2996550499998,20,350,3254,,,
165.33333333333334,9,0.9246079999999994,-934.4687335833332,24,427,3968,,,
157.85714285714286,9,0.9160200000000004,-921.7145006071429,28,477,4420,,,
165.28125,9,0.8995090000000002,-884.1565466249999,32,568,5289,,,
164.36111111111111,9,0.8875769999999998,-899.8188530833332,36,636,5917,,,
185.025,9,0.8593810000000002,-1004.7070018749998,40,790,7401,,,
183.70454545454547,9,0.8464229999999999,-990.490319431818,44,863,8083,,,
185.39583333333334,9,0.8309190000000002,-998.5480316875,48,950,8899,,,
192.90384615384616,9,0.8094109999999998,-1025.9140231730767,52,1068,10031,,,
190.375,9,0.7974410000000005,-1029.5309917142858,56,1136,10661,,,
189.35,9,0.7841409999999998,-1028.8750097833336,60,1210,11361,,,
189.109375,9,0.7700430000000005,-1038.460993578125,64,1290,12103,,,
188.86764705882354,9,0.7559830000000002,-1048.4963735294118,68,1369,12843,,,
183.59722222222223,9,0.7488390000000005,-1042.8477675555557,72,1411,13219,,,
179.80263157894737,9,0.7403650000000004,-1033.4493954736845,76,1461,13665,,,
181.7625,9,0.7237209999999995,-1039.4937403625,80,1553,14541,,,
179.51190476190476,9,0.7134989999999999,-1036.6976280714287,84,1612,15079,,,
178.23863636363637,9,0.7019849999999999,-1005.4254497613637,88,1677,15685,,,
178.79347826086956,9,0.6874690000000001,-1011.5767955978262,92,1759,16449,,,
178.76041666666666,9,0.6739410000000003,-1017.9113303541667,96,1835,17161,,,
175.61,9,0.6663410000000002,-1005.99590885,100,1880,17561,,,
178.34,9,0.6488609999999996,-1009.6258404699998,104,1977,18481,,,
176.72,9,0.6373849999999996,-1026.6602611500002,108,2042,19085,,,
179.3,9,0.6224889999999996,-1047.0624090200001,112,2126,19869,,,
181.45,9,0.6103670000000001,-1059.50146094,116,2195,20507,,,
181.11,9,0.5940649999999996,-1073.7001785100001,120,2286,21365,,,
181.37,9,0.5800050000000003,-1074.37942608,124,2364,22105,,,
182.95,9,0.5684150000000003,-1088.93045202,128,2430,22715,,,
180.8,9,0.5559890000000005,-1104.5084375699998,132,2500,23369,,,
181.4,9,0.5429170000000001,-1104.1753575100001,136,2574,24057,,,
171.14,9,0.5342149999999999,-1067.28040022,140,2625,24515,,,
168.68,9,0.5259309999999999,-1064.0820909600002,144,2674,24951,,,
167.72,9,0.512251,-1057.5213203200003,148,2750,25671,,,
