time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/std,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss
2048,6.201397999999995,224,133.46666666666667,1,9,,,,,,,,,,,
4096,-101.0430646923077,444,148.26923076923077,2,9,0.7006697654724121,0.0003,0.2,0.8683704137802124,4083.782958984375,0.0236328125,3440,-0.00501511778566055,10837.2096534729,0.0033228807,-2.1200206451117993
6144,-45.111145333333326,659,181.54545454545453,3,9,0.700475811958313,0.0003,0.2,0.885215625166893,1491.3587646484375,0.023095703125,3450,-0.007629160842043348,5773.440540313721,0.0035943047,-2.1188537746667864
8192,-63.9373154,874,196.0,4,9,0.6979831457138062,0.0003,0.2,0.882414810359478,864.6613159179688,0.0404296875,3460,-0.007270925957709551,3450.3571355819704,0.0046956236,-2.115813810378313
10240,-100.2581600625,1091,211.39583333333334,5,9,0.6959841251373291,0.0003,0.2,0.8722219467163086,1127.0513916015625,0.01015625,3470,-0.005438387111644261,5520.27689743042,0.0028393138,-2.1098195664584636
12288,1.1720820677966135,1311,206.11864406779662,6,9,0.6989883184432983,0.0003,0.2,0.8170802146196365,951.093505859375,0.0287109375,3480,-0.005285868639475666,3814.8458576202393,0.004145285,-2.1095768213272095
14336,78.3646827671233,1535,194.21917808219177,7,9,0.6975433826446533,0.0003,0.2,0.8247944563627243,2867.311279296875,0.037060546875,3490,-0.005709232279332355,7828.269247817993,0.0031570354,-2.1138513714075087
16384,101.20055631818182,1760,186.0568181818182,8,9,0.6958904266357422,0.0003,0.2,0.892472431063652,1988.9544677734375,0.069677734375,3500,-0.008677135469042696,6074.35140914917,0.00782064,-2.1099824756383896
18432,119.56965410309279,1978,189.7319587628866,9,9,0.6917948722839355,0.0003,0.2,0.9220240414142609,3539.215576171875,0.012353515625,3510,-0.004555135077680461,5164.7237197875975,0.0036013387,-2.1020735912024975
20480,145.98709507,2204,186.46,10,9,0.6944611072540283,0.0003,0.2,0.9487308487296104,1497.328125,0.019921875,3520,-0.008537681287270971,3009.8850133895876,0.0036667325,-2.0980070263147352
22528,182.42482288,2419,198.42,11,9,0.692870020866394,0.0003,0.2,0.8553788512945175,12393.6474609375,0.00380859375,3530,-0.0033861030198750084,9780.774713897705,0.0024122004,-2.100454295426607
24576,203.36087740000005,2645,175.42,12,9,0.6932692527770996,0.0003,0.2,0.9152574762701988,764.8639526367188,0.0390625,3540,-0.00505566414212808,3436.0705947875977,0.0059827883,-2.098295130580664
26624,230.47895045,2862,170.2,13,9,0.693845272064209,0.0003,0.2,0.9080754294991493,2026.473388671875,0.031298828125,3550,-0.005636685460922308,7099.369873809815,0.0027396297,-2.0996708296239377
28672,241.27005221,3087,164.27,14,9,0.6921311616897583,0.0003,0.2,0.9399094171822071,768.85693359375,0.023095703125,3560,-0.007990447922202293,3291.1501848220823,0.0034256415,-2.0978307858109475
30720,263.04581781999997,3304,170.79,15,9,0.6913977861404419,0.0003,0.2,0.8808901384472847,1984.3001708984375,0.014697265625,3570,-0.003186050639487803,8042.414768981934,0.0016661005,-2.0941814444959164
32768,252.13425234000002,3524,173.24,16,9,0.6911799311637878,0.0003,0.2,0.8558367490768433,1702.01123046875,0.02666015625,3580,-0.004581020963087212,6082.544071578979,0.004332427,-2.0930616199970244
34816,262.23668512,3742,182.37,17,9,0.6862518191337585,0.0003,0.2,0.9660115502774715,742.3085327148438,0.067333984375,3590,-0.0117271555645857,2331.5048486709593,0.00880759,-2.0865058191120625
36864,235.56605009999998,3955,187.32,18,9,0.6841894388198853,0.0003,0.2,0.8616625517606735,1517.64208984375,0.021044921875,3600,-0.007218290376476944,4551.645882034301,0.0047935313,-2.073508282750845
38912,239.49869206,4170,198.86,19,9,0.6822278499603271,0.0003,0.2,0.8400911837816238,838.3685302734375,0.026416015625,3610,-0.006023370890761726,3578.0955154418943,0.0036650407,-2.069479039311409
40960,241.07473370999998,4387,208.45,20,9,0.6829464435577393,0.0003,0.2,0.9184964299201965,813.1671752929688,0.034765625,3620,-0.006885674659861252,3362.4763904571532,0.0030902363,-2.067062933743
43008,250.81612088999998,4608,204.87,21,9,0.6813081502914429,0.0003,0.2,0.9035350307822227,719.8875732421875,0.01943359375,3630,-0.0071088214186602276,3253.8431495666505,0.0048602,-2.06671144887805
45056,251.86020121,4830,207.58,22,9,0.6800214052200317,0.0003,0.2,0.8566191643476486,2421.29052734375,0.01455078125,3640,-0.003364593765581958,8874.403802490235,0.0020045382,-2.0615932323038577
47104,255.58579587999998,5050,204.01,23,9,0.6786882877349854,0.0003,0.2,0.8714594095945358,1836.1114501953125,0.029833984375,3650,-0.005611877719638869,6500.123101043701,0.003991572,-2.0577354080975057
49152,247.04807542999998,5267,215.94,24,9,0.6788201332092285,0.0003,0.2,0.8872182294726372,1289.355712890625,0.015576171875,3660,-0.004913423780817538,6018.513641357422,0.0027882275,-2.0557989552617073
51200,189.25831217999996,5494,203.09,25,9,0.6797667145729065,0.0003,0.2,0.809330016374588,1333.0009765625,0.010302734375,3670,-0.005653978229383938,5123.996058273316,0.002741656,-2.0575199641287325
53248,139.64015266,5712,207.82,26,9,0.6793457269668579,0.0003,0.2,0.8302523493766785,4645.6484375,0.007958984375,3680,-0.004801995964953676,13269.117725372314,0.0019311112,-2.058383070677519
55296,157.2013083,5935,196.78,27,9,0.6778426766395569,0.0003,0.2,0.7999017536640167,3230.69775390625,0.03857421875,3690,-0.006495047993666958,7176.327863311768,0.0043738373,-2.055587996542454
57344,139.17769074000003,6151,189.88,28,9,0.6774259805679321,0.0003,0.2,0.9027798846364021,1377.6942138671875,0.0220703125,3700,-0.0057968858745880425,6864.641317749023,0.0037760064,-2.052343173325062
59392,180.83326227999999,6370,182.75,29,9,0.676910936832428,0.0003,0.2,0.7691941112279892,3676.955078125,0.027001953125,3710,-0.005960314862022642,8039.691394805908,0.005097114,-2.050814989954233
61440,174.53415920999998,6593,181.65,30,9,0.6802306175231934,0.0003,0.2,0.9430303499102592,480.11224365234375,0.04140625,3720,-0.007941777877567802,2799.8995349884035,0.0048947423,-2.054620460420847
63488,165.37977126,6812,183.11,31,9,0.681867241859436,0.0003,0.2,0.821942538022995,1349.284423828125,0.03427734375,3730,-0.005666975109488703,7810.571074295044,0.0058060344,-2.062224059551954
65536,234.97719561000005,7033,181.54,32,9,0.6781010627746582,0.0003,0.2,0.9133412018418312,1498.8052978515625,0.0375,3740,-0.008699075019103475,3984.5786165237428,0.0054606437,-2.0600674234330656
67584,235.17206701999996,7243,181.32,33,9,0.6798452138900757,0.0003,0.2,0.9703737925738096,398.8569641113281,0.076953125,3750,-0.013568116480018943,1743.6110332489013,0.008849664,-2.0571980610489846
69632,285.30149838,7472,189.98,34,9,0.6787958145141602,0.0003,0.2,0.45790040493011475,1232.7806396484375,0.0265625,3760,-0.004575181065592915,4815.569096374512,0.0030815634,-2.057627958804369
71680,359.97999008,7695,182.67,35,9,0.6766049861907959,0.0003,0.2,0.8629202395677567,2815.376220703125,0.0154296875,3770,-0.005514896076056175,7680.12174949646,0.0033976133,-2.053549324721098
73728,372.29771071000005,7914,183.58,36,9,0.6729491353034973,0.0003,0.2,0.9743276443332434,717.634521484375,0.05859375,3780,-0.010016816059942358,1666.111473941803,0.006585952,-2.0465000100433826
