time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates
1,176.0909090909091,-1059.331196181818,9,219,2048,,,,,,,,,,
2,180.36363636363637,-1095.0434773636364,9,438,4096,0.009404166,15754.394499206543,0.0003,-2.7025601930916308,0.050390625,-0.014134598601958714,0.2,-0.00012934207916259766,6443.24658203125,10
3,192.83870967741936,-1135.1547407419355,9,656,6144,0.007993232,15871.011967468261,0.0003,-2.691920717060566,0.030224609375,-0.010374719370156526,0.2,-6.80685043334961e-05,6164.1123046875,20
4,212.28947368421052,-1139.5414021052632,9,871,8192,0.0071583493,12729.849312591552,0.0003,-2.676267421245575,0.037939453125,-0.011237859682296403,0.2,-3.707408905029297e-05,4093.3603515625,30
5,236.04651162790697,-1220.9487488372092,9,1084,10240,0.009603789,7854.369873428344,0.0003,-2.6555916994810103,0.06796875,-0.016577322996454313,0.2,-3.3020973205566406e-05,7016.6396484375,40
6,249.77083333333334,-1291.3564159999999,9,1297,12288,0.010382581,7097.3641906738285,0.0003,-2.6282856799662113,0.091015625,-0.015147440455621108,0.2,-2.86102294921875e-06,2622.278076171875,50
7,256.07272727272726,-1274.5599577454543,9,1512,14336,0.007485618,8414.066265106201,0.0003,-2.6109957709908485,0.029638671875,-0.010832043256959878,0.2,3.814697265625e-06,1549.697021484375,60
8,268.37704918032784,-1312.317953491803,9,1725,16384,0.009577213,7891.544284057617,0.0003,-2.593096786737442,0.046044921875,-0.015267182639217936,0.2,-2.2649765014648438e-06,4679.95068359375,70
9,283.5230769230769,-1339.3167391538461,9,1937,18432,0.008761797,6588.926956939697,0.0003,-2.573209623992443,0.0353515625,-0.011778945042169652,0.2,-5.841255187988281e-06,3799.587646484375,80
10,287.8550724637681,-1335.9774147971016,9,2148,20480,0.009969109,4956.7497295379635,0.0003,-2.5591205306351186,0.085595703125,-0.01791832298913505,0.2,4.76837158203125e-07,2770.268310546875,90
11,309.77777777777777,-1458.2180161527779,9,2358,22528,0.008170482,5754.345083618164,0.0003,-2.532894903421402,0.038623046875,-0.011248430711566471,0.2,-1.1920928955078125e-07,1274.347900390625,100
12,310.6363636363636,-1439.7781091818183,9,2571,24576,0.0069040987,4852.487442016602,0.0003,-2.535317700356245,0.02529296875,-0.010045545900356955,0.2,-2.2649765014648438e-06,3263.64697265625,110
13,321.4390243902439,-1448.0317923048779,9,2784,26624,0.006621346,4581.475082969666,0.0003,-2.511283066123724,0.056396484375,-0.015552937491156627,0.2,4.172325134277344e-07,2195.1123046875,120
14,325.0919540229885,-1461.427959321839,9,2996,28672,0.0077902386,4539.7165439605715,0.0003,-2.500547042489052,0.050537109375,-0.014674243767512963,0.2,3.5762786865234375e-07,3729.911865234375,130
15,337.9,-1476.433894,9,3206,30720,0.010649793,4809.85424118042,0.0003,-2.5168779462575914,0.0728515625,-0.014464724503341131,0.2,-1.430511474609375e-06,811.6076049804688,140
16,347.39784946236557,-1515.4684897096772,9,3417,32768,0.007935118,2011.9355020523071,0.0003,-2.4826380841434004,0.069482421875,-0.01916776038997341,0.2,-4.76837158203125e-07,632.85107421875,150
17,356.22680412371136,-1552.2868057525773,9,3628,34816,0.009890248,3793.9107418060303,0.0003,-2.4986775167286397,0.055908203125,-0.013199297372193542,0.2,1.1920928955078125e-07,1054.8170166015625,160
18,368.6060606060606,-1610.7266958484845,9,3837,36864,0.0063481564,4735.733997344971,0.0003,-2.497584519535303,0.0294921875,-0.01253471056552371,0.2,-8.344650268554688e-07,1776.9705810546875,170
19,380.48,-1641.3404513999997,9,4047,38912,0.0069593005,2693.012202835083,0.0003,-2.501980824023485,0.03173828125,-0.01468176128109917,0.2,1.5497207641601562e-06,1395.7177734375,180
